a;b
Çorum;Kargý
Çorum;Laçin
Çorum;Mecitözü
Çorum;Oðuzlar
Çorum;Ortaköy / Çorum
Çorum;Osmancýk
Çorum;Sungurlu
Çorum;Uðurludað
Denizli;Acýpayam
Denizli;Akköy
Denizli;Babadað
Denizli;Baklan
Denizli;Bekilli
Denizli;Beyaðaç
Denizli;Bozkurt / Denizli
Denizli;Buldan
Denizli;Çal
Denizli;Çameli
Denizli;Çardak
Denizli;Çivril
Denizli;Denizli Merkez
Denizli;Güney
Denizli;Honaz
Denizli;Kale / Denizli
Denizli;Sarayköy
Denizli;Serinhisar
Denizli;Tavas
Diyarbakýr;Baðlar
Diyarbakýr;Bismil
Diyarbakýr;Çermik
Diyarbakýr;Çýnar
Diyarbakýr;Çüngüþ
Diyarbakýr;Dicle
Diyarbakýr;Eðil
Diyarbakýr;Ergani
Diyarbakýr;Hani
Diyarbakýr;Hazro
Diyarbakýr;Kayapýnar
Diyarbakýr;Kocaköy
Diyarbakýr;Kulp
Diyarbakýr;Lice
Diyarbakýr;Silvan
Diyarbakýr;Sur
Diyarbakýr;Yeniþehir / Diyarbakýr
Edirne;Edirne Merkez
Edirne;Enez
Edirne;Havsa
Edirne;Ýpsala
Edirne;Keþan
Edirne;Lalapaþa
Edirne;Meriç
Edirne;Süloðlu
Edirne;Uzunköprü
Elazýð;Aðýn
Elazýð;Alacakaya
Elazýð;Arýcak
Elazýð;Baskil
Elazýð;Elazýð Merkez
Elazýð;Karakoçan
Elazýð;Keban
Elazýð;Kovancýlar
Elazýð;Maden
Elazýð;Palu
Elazýð;Sivrice
Erzincan;Çayýrlý
Erzincan;Erzincan Merkez
Erzincan;Ýliç
Erzincan;Kemah
Erzincan;Kemaliye
Erzincan;Otlukbeli
Erzincan;Refahiye
Erzincan;Tercan
Erzincan;Üzümlü
Erzurum;Aþkale
Erzurum;Aziziye
Erzurum;Çat
Erzurum;Hýnýs
Erzurum;Horasan
Erzurum;Ýspir
Erzurum;Karaçoban
Erzurum;Karayazý
Erzurum;Köprüköy
Erzurum;Narman
Erzurum;Oltu
Erzurum;Olur
Erzurum;Palandöken
Erzurum;Pasinler
Erzurum;Pazaryolu
Erzurum;Þenkaya
Erzurum;Tekman
Erzurum;Tortum
Erzurum;Uzundere
Erzurum;Yakutiye
Eskiþehir;Alpu
Eskiþehir;Beylikova
Eskiþehir;Çifteler
Eskiþehir;Günyüzü
Eskiþehir;Han
Eskiþehir;Ýnönü
Eskiþehir;Mahmudiye
Eskiþehir;Mihalgazi
Eskiþehir;Mihalýççýk
Eskiþehir;Odunpazarý
Eskiþehir;Sarýcakaya
Eskiþehir;Seyitgazi
Eskiþehir;Sivrihisar
Eskiþehir;Tepebaþý
Gaziantep;Araban
Gaziantep;Ýslahiye
Gaziantep;Karkamýþ
Gaziantep;Nizip
Gaziantep;Nurdaðý
Gaziantep;Oðuzeli
Gaziantep;Þahinbey
Gaziantep;Þehitkamil
Gaziantep;Yavuzeli
Giresun;Alucra
Giresun;Bulancak
Giresun;Çamoluk
Giresun;Çanakçý
Giresun;Dereli
Giresun;Doðankent
Giresun;Espiye
Giresun;Eynesil
Giresun;Giresun Merkez
Giresun;Görele
Giresun;Güce
Giresun;Keþap
Giresun;Piraziz
Giresun;Þebinkarahisar
Giresun;Tirebolu
Giresun;Yaðlýdere
Gümüþhane;Gümüþhane Merkez
Gümüþhane;Kelkit
Gümüþhane;Köse
Gümüþhane;Kürtün
Gümüþhane;Þiran
Gümüþhane;Torul
Hakkari;Çukurca
Hakkari;Hakkari Merkez
Hakkari;Þemdinli
Hakkari;Yüksekova
Hatay;Altýnözü
Hatay;Belen
Hatay;Dörtyol
Hatay;Erzin
Hatay;Hassa
Hatay;Hatay Merkez
Hatay;Ýskenderun
Hatay;Kýrýkhan
Hatay;Kumlu
Hatay;Reyhanlý
Hatay;Samandað
Hatay;Yayladaðý
Isparta;Aksu / Isparta
Isparta;Atabey
Isparta;Eðirdir
Isparta;Gelendost
Isparta;Gönen / Isparta
Isparta;Isparta Merkez
Isparta;Keçiborlu
Isparta;Senirkent
Isparta;Sütçüler
Isparta;Þarkikaraaðaç
Isparta;Uluborlu
Isparta;Yalvaç
Isparta;Yeniþarbademli
Mersin;Akdeniz
Mersin;Anamur
Mersin;Aydýncýk / Mersin
Mersin;Bozyazý
Mersin;Çamlýyayla
Mersin;Erdemli
Mersin;Gülnar
Mersin;Mezitli
Mersin;Mut
Mersin;Silifke
Mersin;Tarsus
Mersin;Toroslar
Mersin;Yeniþehir / Mersin
Ýstanbul;Adalar
Ýstanbul;Arnavutköy
Ýstanbul;Ataþehir
Ýstanbul;Avcýlar
Ýstanbul;Baðcýlar
Ýstanbul;Bahçelievler
Ýstanbul;Bakýrköy
Ýstanbul;Baþakþehir
Ýstanbul;Bayrampaþa
Ýstanbul;Beþiktaþ
Ýstanbul;Beykoz
Ýstanbul;Beylikdüzü
Ýstanbul;Beyoðlu
Ýstanbul;Büyükçekmece
Ýstanbul;Çatalca
Ýstanbul;Çekmeköy
Ýstanbul;Esenler
Ýstanbul;Esenyurt
Ýstanbul;Eyüp
Ýstanbul;Fatih
Ýstanbul;Gaziosmanpaþa
Ýstanbul;Güngören
Ýstanbul;Kadýköy
Ýstanbul;Kaðýthane
Ýstanbul;Kartal
Ýstanbul;Küçükçekmece
Ýstanbul;Maltepe
Ýstanbul;Pendik
Ýstanbul;Sancaktepe
Ýstanbul;Sarýyer
Ýstanbul;Silivri
Ýstanbul;Sultanbeyli
Ýstanbul;Sultangazi
Ýstanbul;Þile
Ýstanbul;Þiþli
Ýstanbul;Tuzla
Ýstanbul;Ümraniye
Ýstanbul;Üsküdar
Ýstanbul;Zeytinburnu
Ýzmir;Aliaða
Ýzmir;Balçova
Ýzmir;Bayýndýr
Ýzmir;Bayraklý
Ýzmir;Bergama
Ýzmir;Beydað
Ýzmir;Bornova
Ýzmir;Buca
Ýzmir;Çeþme
Ýzmir;Çiðli
Ýzmir;Dikili
Ýzmir;Foça
Ýzmir;Gaziemir
Ýzmir;Güzelbahçe
Ýzmir;Karabaðlar
Ýzmir;Karaburun
Ýzmir;Karþýyaka
Ýzmir;Kemalpaþa
Ýzmir;Kýnýk
Ýzmir;Kiraz
Ýzmir;Konak
Ýzmir;Menderes
Ýzmir;Menemen
Ýzmir;Narlýdere
Ýzmir;Ödemiþ
Ýzmir;Seferihisar
Ýzmir;Selçuk
Ýzmir;Tire
Ýzmir;Torbalý
Ýzmir;Urla
Kars;Akyaka
Kars;Arpaçay
Kars;Digor
Kars;Kaðýzman
Kars;Kars Merkez
Kars;Sarýkamýþ
Kars;Selim
Kars;Susuz
Kastamonu;Abana
Kastamonu;Aðlý
Kastamonu;Araç
Kastamonu;Azdavay
Kastamonu;Bozkurt / Kastamonu
Kastamonu;Cide
Kastamonu;Çatalzeytin
Kastamonu;Daday
Kastamonu;Devrekani
Kastamonu;Doðanyurt
Kastamonu;Hanönü
Kastamonu;Ýhsangazi
Kastamonu;Ýnebolu
Kastamonu;Kastamonu Merkez
Kastamonu;Küre
Kastamonu;Pýnarbaþý / Kastamonu
Kastamonu;Seydiler
Kastamonu;Þenpazar
Kastamonu;Taþköprü
Kastamonu;Tosya
Kayseri;Akkýþla
Kayseri;Bünyan
Kayseri;Develi
Kayseri;Felahiye
Kayseri;Hacýlar
Kayseri;Ýncesu
Kayseri;Kocasinan
Kayseri;Melikgazi
Kayseri;Özvatan
Kayseri;Pýnarbaþý / Kayseri
Kayseri;Sarýoðlan
Kayseri;Sarýz
Kayseri;Talas
Kayseri;Tomarza
Kayseri;Yahyalý
Kayseri;Yeþilhisar
Kýrklareli;Babaeski
Kýrklareli;Demirköy
Kýrklareli;Kýrklareli Merkez
Kýrklareli;Kofçaz
Kýrklareli;Lüleburgaz
Kýrklareli;Pehlivanköy
Kýrklareli;Pýnarhisar
Kýrklareli;Vize
Kýrþehir;Akçakent
Kýrþehir;Akpýnar
Kýrþehir;Boztepe
Kýrþehir;Çiçekdaðý
Kýrþehir;Kaman
Kýrþehir;Kýrþehir Merkez
Kýrþehir;Mucur
Kocaeli;Baþiskele
Kocaeli;Çayýrova
Kocaeli;Darýca
Kocaeli;Derince
Kocaeli;Dilovasý
Kocaeli;Gebze
Kocaeli;Gölcük
Kocaeli;Ýzmit
Kocaeli;Kandýra
Kocaeli;Karamürsel
Kocaeli;Kartepe
Kocaeli;Körfez
Konya;Ahýrlý
Konya;Akören
Konya;Akþehir
Konya;Altýnekin
Konya;Beyþehir
Konya;Bozkýr
Konya;Cihanbeyli
Konya;Çeltik
Konya;Çumra
Konya;Derbent
Konya;Derebucak
Konya;Doðanhisar
Konya;Emirgazi
Konya;Ereðli / Konya
Konya;Güneysýnýr
Konya;Hadim
Konya;Halkapýnar
Konya;Hüyük
Konya;Ilgýn
Konya;Kadýnhaný
Konya;Karapýnar
Konya;Karatay
Konya;Kulu
Konya;Meram
Konya;Sarayönü
Konya;Selçuklu
Konya;Seydiþehir
Konya;Taþkent
Konya;Tuzlukçu
Konya;Yalýhüyük
Konya;Yunak
Kütahya;Altýntaþ
Kütahya;Aslanapa
Kütahya;Çavdarhisar
Kütahya;Domaniç
Kütahya;Dumlupýnar
Kütahya;Emet
Kütahya;Gediz
Kütahya;Hisarcýk
Kütahya;Kütahya Merkez
Kütahya;Pazarlar
Kütahya;Simav
Kütahya;Þaphane
Kütahya;Tavþanlý
Malatya;Akçadað
Malatya;Arapgir
Malatya;Arguvan
Malatya;Battalgazi
Malatya;Darende
Malatya;Doðanþehir
Malatya;Doðanyol
Malatya;Hekimhan
Malatya;Kale / Malatya
Malatya;Kuluncak
Malatya;Malatya Merkez
Malatya;Pütürge
Malatya;Yazýhan
Malatya;Yeþilyurt / Malatya
Manisa;Ahmetli
Manisa;Akhisar
Manisa;Alaþehir
Manisa;Demirci
Manisa;Gölmarmara
Manisa;Gördes
Manisa;Kýrkaðaç
Manisa;Köprübaþý / Manisa
Manisa;Kula
Manisa;Manisa Merkez
Manisa;Salihli
Manisa;Sarýgöl
Manisa;Saruhanlý
Manisa;Selendi
Manisa;Soma
Manisa;Turgutlu
Kahramanmaraþ;Afþin
Kahramanmaraþ;Andýrýn
Kahramanmaraþ;Çaðlýyancerit
Kahramanmaraþ;Ekinözü
Kahramanmaraþ;Elbistan
Kahramanmaraþ;Göksun
Kahramanmaraþ;Kahramanmaraþ Merkez
Kahramanmaraþ;Nurhak
Kahramanmaraþ;Pazarcýk
Kahramanmaraþ;Türkoðlu
Mardin;Dargeçit
Mardin;Derik
Mardin;Kýzýltepe
Mardin;Mardin Merkez
Mardin;Mazýdaðý
Mardin;Midyat
Mardin;Nusaybin
Mardin;Ömerli
Mardin;Savur
Mardin;Yeþilli
Muðla;Bodrum
Muðla;Dalaman
Muðla;Datça
Muðla;Fethiye
Muðla;Kavaklýdere
Muðla;Köyceðiz
Muðla;Marmaris
Muðla;Milas
Muðla;Muðla Merkez
Muðla;Ortaca
Muðla;Ula
Muðla;Yataðan
Muþ;Bulanýk
Muþ;Hasköy
Muþ;Korkut
Muþ;Malazgirt
Muþ;Muþ Merkez
Muþ;Varto
Nevþehir;Acýgöl
Nevþehir;Avanos
Nevþehir;Derinkuyu
Nevþehir;Gülþehir
Nevþehir;Hacýbektaþ
Nevþehir;Kozaklý
Nevþehir;Nevþehir Merkez
Nevþehir;Ürgüp
Niðde;Altunhisar
Niðde;Bor
Niðde;Çamardý
Niðde;Çiftlik
Niðde;Niðde Merkez
Niðde;Ulukýþla
Ordu;Akkuþ
Ordu;Aybastý
Ordu;Çamaþ
Ordu;Çatalpýnar
Ordu;Çaybaþý
Ordu;Fatsa
Ordu;Gölköy
Ordu;Gülyalý
Ordu;Gürgentepe
Ordu;Ýkizce
Ordu;Kabadüz
Ordu;Kabataþ
Ordu;Korgan
Ordu;Kumru
Ordu;Mesudiye
Ordu;Ordu Merkez
Ordu;Perþembe
Ordu;Ulubey / Ordu
Ordu;Ünye
Rize;Ardeþen
Rize;Çamlýhemþin
Rize;Çayeli
Rize;Derepazarý
Rize;Fýndýklý
Rize;Güneysu
Rize;Hemþin
Rize;Ýkizdere
Rize;Ýyidere
Rize;Kalkandere
Rize;Pazar / Rize
Rize;Rize Merkez
Sakarya;Adapazarý
Sakarya;Akyazý
Sakarya;Arifiye
Sakarya;Erenler
Sakarya;Ferizli
Sakarya;Geyve
Sakarya;Hendek
Sakarya;Karapürçek
Sakarya;Karasu
Sakarya;Kaynarca
Sakarya;Kocaali
Sakarya;Pamukova
Sakarya;Sapanca
Sakarya;Serdivan
Sakarya;Söðütlü
Sakarya;Taraklý
Samsun;Alaçam
Samsun;Asarcýk
Samsun;Atakum
Samsun;Ayvacýk / Samsun
Samsun;Bafra
Samsun;Canik
Samsun;Çarþamba
Samsun;Havza
Samsun;Ýlkadým
Samsun;Kavak
Samsun;Ladik
Samsun;Ondokuzmayýs
Samsun;Salýpazarý
Samsun;Tekkeköy
Samsun;Terme
Samsun;Vezirköprü
Samsun;Yakakent
Siirt;Aydýnlar
Siirt;Baykan
Siirt;Eruh
Siirt;Kurtalan
Siirt;Pervari
Siirt;Siirt Merkez
Siirt;Þirvan
Sinop;Ayancýk
Sinop;Boyabat
Sinop;Dikmen
Sinop;Duraðan
Sinop;Erfelek
Sinop;Gerze
Sinop;Saraydüzü
Sinop;Sinop Merkez
Sinop;Türkeli
Sivas;Akýncýlar
Sivas;Altýnyayla / Sivas
Sivas;Divriði
Sivas;Doðanþar
Sivas;Gemerek
Sivas;Gölova
Sivas;Gürün
Sivas;Hafik
Sivas;Ýmranlý
Sivas;Kangal
Sivas;Koyulhisar
Sivas;Sivas Merkez
Sivas;Suþehri
Sivas;Þarkýþla
Sivas;Ulaþ
Sivas;Yýldýzeli
Sivas;Zara
Tekirdað;Çerkezköy
Tekirdað;Çorlu
Tekirdað;Hayrabolu
Tekirdað;Malkara
Tekirdað;Marmaraereðlisi
Tekirdað;Muratlý
Tekirdað;Saray / Tekirdað
Tekirdað;Þarköy
Tekirdað;Tekirdað Merkez
Tokat;Almus
Tokat;Artova
Tokat;Baþçiftlik
Tokat;Erbaa
Tokat;Niksar
Tokat;Pazar / Tokat
Tokat;Reþadiye
Tokat;Sulusaray
Tokat;Tokat Merkez
Tokat;Turhal
Tokat;Yeþilyurt / Tokat
Tokat;Zile
Trabzon;Akçaabat
Trabzon;Araklý
Trabzon;Arsin
Trabzon;Beþikdüzü
Trabzon;Çarþýbaþý
Trabzon;Çaykara
Trabzon;Dernekpazarý
Trabzon;Düzköy
Trabzon;Hayrat
Trabzon;Köprübaþý / Trabzon
Trabzon;Maçka
Trabzon;Of
Trabzon;Sürmene
Trabzon;Þalpazarý
Trabzon;Tonya
Trabzon;Trabzon Merkez
Trabzon;Vakfýkebir
Trabzon;Yomra
Tunceli;Çemiþgezek
Tunceli;Hozat
Tunceli;Mazgirt
Tunceli;Nazýmiye
Tunceli;Ovacýk / Tunceli
Tunceli;Pertek
Tunceli;Pülümür
Tunceli;Tunceli Merkez
Þanlýurfa;Akçakale
Þanlýurfa;Birecik
Þanlýurfa;Bozova
Þanlýurfa;Ceylanpýnar
Þanlýurfa;Halfeti
Þanlýurfa;Harran
Þanlýurfa;Hilvan
Þanlýurfa;Siverek
Þanlýurfa;Suruç
Þanlýurfa;Þanlýurfa Merkez
Þanlýurfa;Viranþehir
Uþak;Banaz
Uþak;Eþme
Uþak;Karahallý
Uþak;Sivaslý
Uþak;Ulubey / Uþak
Uþak;Uþak Merkez
Van;Bahçesaray
Van;Baþkale
Van;Çaldýran
Van;Çatak
Van;Edremit / Van
Van;Erciþ
Van;Gevaþ
Van;Gürpýnar
Van;Muradiye
Van;Özalp
Van;Saray / Van
Van;Van Merkez
Yozgat;Akdaðmadeni
Yozgat;Aydýncýk / Yozgat
Yozgat;Boðazlýyan
Yozgat;Çandýr
Yozgat;Çayýralan
Yozgat;Çekerek
Yozgat;Kadýþehri
Yozgat;Saraykent
Yozgat;Sarýkaya
Yozgat;Sorgun
Yozgat;Þefaatli
Yozgat;Yenifakýlý
Yozgat;Yerköy
Yozgat;Yozgat Merkez
Zonguldak;Alaplý
Zonguldak;Çaycuma
Zonguldak;Devrek
Zonguldak;Ereðli / Zonguldak
Zonguldak;Gökçebey
Zonguldak;Zonguldak Merkez
Aksaray;Aðaçören
Aksaray;Aksaray Merkez
Aksaray;Eskil
Aksaray;Gülaðaç
Aksaray;Güzelyurt
Aksaray;Ortaköy
Aksaray;Sarýyahþi
Bayburt;Aydýntepe
Bayburt;Bayburt Merkez
Bayburt;Demirözü
Karaman;Ayrancý
Karaman;Baþyayla
Karaman;Ermenek
Karaman;Karaman Merkez
Karaman;Kazýmkarabekir
Karaman;Sarýveliler
Kýrýkkale;Bahþili
Kýrýkkale;Balýþeyh
Kýrýkkale;Çelebi
Kýrýkkale;Delice
Kýrýkkale;Karakeçili
Kýrýkkale;Keskin
Kýrýkkale;Kýrýkkale Merkez
Kýrýkkale;Sulakyurt
Kýrýkkale;Yahþihan
Batman;Batman Merkez
Batman;Beþiri
Batman;Gercüþ
Batman;Hasankeyf
Batman;Kozluk
Batman;Sason
Þýrnak;Beytüþþebap
Þýrnak;Cizre
Þýrnak;Güçlükonak
Þýrnak;Ýdil
Þýrnak;Silopi
Þýrnak;Þýrnak Merkez
Þýrnak;Uludere
Bartýn;Amasra
Bartýn;Bartýn Merkez
Bartýn;Kurucaþile
Bartýn;Ulus
Ardahan;Ardahan Merkez
Ardahan;Çýldýr
Ardahan;Damal
Ardahan;Göle
Ardahan;Hanak
Ardahan;Posof
Iðdýr;Aralýk
Iðdýr;Iðdýr Merkez
Iðdýr;Karakoyunlu
Iðdýr;Tuzluca
Yalova;Altýnova
Yalova;Armutlu
Yalova;Çýnarcýk
Yalova;Çiftlikköy
Yalova;Termal
Yalova;Yalova Merkez
Karabük;Eflani
Karabük;Eskipazar
Karabük;Karabük Merkez
Karabük;Ovacýk / Karabük
Karabük;Safranbolu
Karabük;Yenice / Karabük
Kilis;Elbeyli
Kilis;Kilis Merkez
Kilis;Musabeyli
Kilis;Polateli
Osmaniye;Bahçe
Osmaniye;Düziçi
Osmaniye;Hasanbeyli
Osmaniye;Kadirli
Osmaniye;Osmaniye Merkez
Osmaniye;Sumbas
Osmaniye;Toprakkale
Düzce;Akçakoca
Düzce;Cumayeri
Düzce;Çilimli
Düzce;Düzce Merkez
Düzce;Gölyaka
Düzce;Gümüþova
Düzce;Kaynaþlý
Düzce;Yýðýlca
